4	5	6	7	8	9	10	11	12	13
0.03 	0.09 	0.18 	0.28 	0.37 	0.45 	0.49 	0.53 	0.55 	0.55 
0.02 	0.06 	0.13 	0.20 	0.26 	0.31 	0.35 	0.37 	0.38 	0.38 
0.02 	0.06 	0.13 	0.20 	0.26 	0.31 	0.35 	0.37 	0.39 	0.39 
0.06 	0.18 	0.36 	0.57 	0.76 	0.90 	1.00 	1.07 	1.11 	1.11 
0.05 	0.16 	0.33 	0.52 	0.69 	0.82 	0.91 	0.97 	1.01 	1.01 
0.09 	0.30 	0.62 	0.98 	1.29 	1.54 	1.71 	1.82 	1.89 	1.89 
0.02 	0.06 	0.13 	0.20 	0.26 	0.31 	0.35 	0.37 	0.39 	0.39 
0.02 	0.05 	0.10 	0.16 	0.21 	0.25 	0.28 	0.29 	0.30 	0.30 
0.02 	0.08 	0.16 	0.25 	0.33 	0.40 	0.44 	0.47 	0.49 	0.49 
0.08 	0.25 	0.52 	0.83 	1.10 	1.30 	1.45 	1.54 	1.60 	1.60 
0.06 	0.20 	0.41 	0.65 	0.86 	1.03 	1.14 	1.21 	1.26 	1.26 
0.02 	0.05 	0.11 	0.17 	0.22 	0.26 	0.29 	0.31 	0.32 	0.32 
0.10 	0.33 	0.69 	1.08 	1.44 	1.71 	1.90 	2.02 	2.10 	2.10 
0.08 	0.26 	0.54 	0.86 	1.14 	1.35 	1.50 	1.60 	1.66 	1.66 
0.02 	0.07 	0.15 	0.24 	0.32 	0.38 	0.42 	0.45 	0.47 	0.47 
0.02 	0.07 	0.14 	0.21 	0.28 	0.34 	0.38 	0.40 	0.41 	0.41 
0.04 	0.13 	0.28 	0.44 	0.58 	0.69 	0.77 	0.82 	0.85 	0.85 
0.05 	0.15 	0.30 	0.48 	0.63 	0.75 	0.83 	0.89 	0.92 	0.92 
0.02 	0.07 	0.14 	0.23 	0.30 	0.36 	0.40 	0.42 	0.44 	0.44 
0.03 	0.10 	0.21 	0.33 	0.44 	0.52 	0.58 	0.61 	0.64 	0.64
